sensor_msgs/JointState,/joint_target
timestamp,front_left_hip,front_left_thigh,front_left_calf,front_right_hip,front_right_thigh,front_right_calf,rear_left_hip,rear_left_thigh,rear_left_calf,rear_right_hip,rear_right_thigh,rear_right_calf
0.053535,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.104984,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.156943,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.208512,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.259363,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.312131,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.362367,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.413042,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.467896,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.517659,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.573096,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.624300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.675000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.725067,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.776441,0.000006,0.000000,0.000000,0.000006,0.000000,0.000000,0.000006,0.000000,0.000000,0.000006,0.000000,0.000000
0.827050,0.000964,0.000000,0.000000,0.000964,0.000000,0.000000,0.000964,0.000000,0.000000,0.000964,0.000000,0.000000
0.882154,0.006091,0.000000,0.000000,0.006091,0.000000,0.000000,0.006091,0.000000,0.000000,0.006091,0.000000,0.000000
0.933889,0.017409,0.000000,0.000000,0.017409,0.000000,0.000000,0.017409,0.000000,0.000000,0.017409,0.000000,0.000000
0.984761,0.037677,0.000000,0.000000,0.037677,0.000000,0.000000,0.037677,0.000000,0.000000,0.037677,0.000000,0.000000
1.041448,0.064225,0.000000,0.000000,0.064225,0.000000,0.000000,0.064225,0.000000,0.000000,0.064225,0.000000,0.000000
1.094380,0.088338,0.000000,0.000000,0.088338,0.000000,0.000000,0.088338,0.000000,0.000000,0.088338,0.000000,0.000000
1.149300,0.114627,0.000000,0.000000,0.114627,0.000000,0.000000,0.114627,0.000000,0.000000,0.114627,0.000000,0.000000
1.199726,0.140703,0.000000,0.000000,0.140703,0.000000,0.000000,0.140703,0.000000,0.000000,0.140703,0.000000,0.000000
1.253827,0.167175,0.000000,0.000000,0.167175,0.000000,0.000000,0.167175,0.000000,0.000000,0.167175,0.000000,0.000000
1.305350,0.194001,0.000000,0.000000,0.194001,0.000000,0.000000,0.194001,0.000000,0.000000,0.194001,0.000000,0.000000
1.358013,0.221732,0.000000,0.000000,0.221732,0.000000,0.000000,0.221732,0.000000,0.000000,0.221732,0.000000,0.000000
1.410355,0.248160,0.000000,0.000000,0.248160,0.000000,0.000000,0.248160,0.000000,0.000000,0.248160,0.000000,0.000000
1.465247,0.272768,0.000000,0.000000,0.272768,0.000000,0.000000,0.272768,0.000000,0.000000,0.272768,0.000000,0.000000
1.522053,0.295943,0.000000,0.000000,0.295943,0.000000,0.000000,0.295943,0.000000,0.000000,0.295943,0.000000,0.000000
1.573759,0.314684,0.000000,0.000000,0.314684,0.000000,0.000000,0.314684,0.000000,0.000000,0.314684,0.000000,0.000000
1.625033,0.329803,0.000000,0.000000,0.329803,0.000000,0.000000,0.329803,0.000000,0.000000,0.329803,0.000000,0.000000
1.678519,0.341148,0.000000,0.000000,0.341148,0.000000,0.000000,0.341148,0.000000,0.000000,0.341148,0.000000,0.000000
1.731307,0.347740,0.000000,0.000000,0.347740,0.000000,0.000000,0.347740,0.000000,0.000000,0.347740,0.000000,0.000000
1.784937,0.349066,0.000537,0.000000,0.349066,0.000537,0.000000,0.349066,0.000537,0.000000,0.349066,0.000537,0.000000
1.840866,0.349066,0.008195,0.000000,0.349066,0.008195,0.000000,0.349066,0.008195,0.000000,0.349066,0.008195,0.000000
1.892868,0.349066,0.023001,0.000000,0.349066,0.023001,0.000000,0.349066,0.023001,0.000000,0.349066,0.023001,0.000000
1.947868,0.349066,0.045490,0.000000,0.349066,0.045490,0.000000,0.349066,0.045490,0.000000,0.349066,0.045490,0.000000
1.999091,0.349066,0.072314,0.000000,0.349066,0.072314,0.000000,0.349066,0.072314,0.000000,0.349066,0.072314,0.000000
2.051351,0.349066,0.103611,0.000000,0.349066,0.103611,0.000000,0.349066,0.103611,0.000000,0.349066,0.103611,0.000000
2.103175,0.349066,0.138521,0.000000,0.349066,0.138521,0.000000,0.349066,0.138521,0.000000,0.349066,0.138521,0.000000
2.156003,0.349066,0.176684,0.000000,0.349066,0.176684,0.000000,0.349066,0.176684,0.000000,0.349066,0.176684,0.000000
2.208315,0.349066,0.216554,0.000000,0.349066,0.216554,0.000000,0.349066,0.216554,0.000000,0.349066,0.216554,0.000000
2.259886,0.349066,0.257092,0.000000,0.349066,0.257092,0.000000,0.349066,0.257092,0.000000,0.349066,0.257092,0.000000
2.314494,0.349066,0.298862,0.000000,0.349066,0.298862,0.000000,0.349066,0.298862,0.000000,0.349066,0.298862,0.000000
2.365044,0.349066,0.338645,0.000000,0.349066,0.338645,0.000000,0.349066,0.338645,0.000000,0.349066,0.338645,0.000000
2.419483,0.349066,0.378575,0.000000,0.349066,0.378575,0.000000,0.349066,0.378575,0.000000,0.349066,0.378575,0.000000
2.469862,0.349066,0.413161,0.000000,0.349066,0.413161,0.000000,0.349066,0.413161,0.000000,0.349066,0.413161,0.000000
2.521882,0.349066,0.445792,0.000000,0.349066,0.445792,0.000000,0.349066,0.445792,0.000000,0.349066,0.445792,0.000000
2.574169,0.349066,0.473272,0.000000,0.349066,0.473272,0.000000,0.349066,0.473272,0.000000,0.349066,0.473272,0.000000
2.625078,0.349066,0.495808,0.000000,0.349066,0.495808,0.000000,0.349066,0.495808,0.000000,0.349066,0.495808,0.000000
2.675080,0.349066,0.511644,0.000000,0.349066,0.511644,0.000000,0.349066,0.511644,0.000000,0.349066,0.511644,0.000000
2.726964,0.349066,0.521312,0.000000,0.349066,0.521312,0.000000,0.349066,0.521312,0.000000,0.349066,0.521312,0.000000
2.778706,0.349066,0.523240,0.000000,0.349066,0.523240,0.000000,0.349066,0.523240,0.000000,0.349066,0.523240,0.000000
2.828068,0.349066,0.511800,0.000000,0.349066,0.511800,0.000000,0.349066,0.511800,0.000000,0.349066,0.511800,0.000000
2.879177,0.349066,0.485686,0.000000,0.349066,0.485686,0.000000,0.349066,0.485686,0.000000,0.349066,0.485686,0.000000
2.931504,0.349066,0.446346,0.000000,0.349066,0.446346,0.000000,0.349066,0.446346,0.000000,0.349066,0.446346,0.000000
2.982496,0.349066,0.395989,0.000000,0.349066,0.395989,0.000000,0.349066,0.395989,0.000000,0.349066,0.395989,0.000000
3.039923,0.349066,0.333890,0.000000,0.349066,0.333890,0.000000,0.349066,0.333890,0.000000,0.349066,0.333890,0.000000
3.091999,0.349066,0.261060,0.000000,0.349066,0.261060,0.000000,0.349066,0.261060,0.000000,0.349066,0.261060,0.000000
3.146091,0.349066,0.183596,0.000000,0.349066,0.183596,0.000000,0.349066,0.183596,0.000000,0.349066,0.183596,0.000000
3.197623,0.349066,0.105962,0.000000,0.349066,0.105962,0.000000,0.349066,0.105962,0.000000,0.349066,0.105962,0.000000
3.251018,0.349066,0.024725,0.000000,0.349066,0.024725,0.000000,0.349066,0.024725,0.000000,0.349066,0.024725,0.000000
3.304817,0.349066,-0.061860,0.000000,0.349066,-0.061860,0.000000,0.349066,-0.061860,0.000000,0.349066,-0.061860,0.000000
3.355941,0.349066,-0.138993,0.000000,0.349066,-0.138993,0.000000,0.349066,-0.138993,0.000000,0.349066,-0.138993,0.000000
3.406961,0.349066,-0.217578,0.000000,0.349066,-0.217578,0.000000,0.349066,-0.217578,0.000000,0.349066,-0.217578,0.000000
3.459858,0.349066,-0.289317,0.000000,0.349066,-0.289317,0.000000,0.349066,-0.289317,0.000000,0.349066,-0.289317,0.000000
3.512846,0.349066,-0.356225,0.000000,0.349066,-0.356225,0.000000,0.349066,-0.356225,0.000000,0.349066,-0.356225,0.000000
3.563844,0.349066,-0.413003,0.000000,0.349066,-0.413003,0.000000,0.349066,-0.413003,0.000000,0.349066,-0.413003,0.000000
3.614703,0.349066,-0.459188,0.000000,0.349066,-0.459188,0.000000,0.349066,-0.459188,0.000000,0.349066,-0.459188,0.000000
3.664032,0.349066,-0.494026,0.000000,0.349066,-0.494026,0.000000,0.349066,-0.494026,0.000000,0.349066,-0.494026,0.000000
3.719609,0.349066,-0.516613,0.000000,0.349066,-0.516613,0.000000,0.349066,-0.516613,0.000000,0.349066,-0.516613,0.000000
3.772699,0.349066,-0.523530,0.000000,0.349066,-0.523530,0.000000,0.349066,-0.523530,0.000000,0.349066,-0.523530,0.000000
3.823149,0.349066,-0.518605,0.000000,0.349066,-0.518605,0.000000,0.349066,-0.518605,0.000000,0.349066,-0.518605,0.000000
3.875406,0.349066,-0.506006,0.000000,0.349066,-0.506006,0.000000,0.349066,-0.506006,0.000000,0.349066,-0.506006,0.000000
3.926612,0.349066,-0.487177,0.000000,0.349066,-0.487177,0.000000,0.349066,-0.487177,0.000000,0.349066,-0.487177,0.000000
3.978228,0.349066,-0.462657,0.000000,0.349066,-0.462657,0.000000,0.349066,-0.462657,0.000000,0.349066,-0.462657,0.000000
4.029825,0.349066,-0.433161,0.000000,0.349066,-0.433161,0.000000,0.349066,-0.433161,0.000000,0.349066,-0.433161,0.000000
4.080643,0.349066,-0.400991,0.000000,0.349066,-0.400991,0.000000,0.349066,-0.400991,0.000000,0.349066,-0.400991,0.000000
4.130904,0.349066,-0.365184,0.000000,0.349066,-0.365184,0.000000,0.349066,-0.365184,0.000000,0.349066,-0.365184,0.000000
4.182471,0.349066,-0.326610,0.000000,0.349066,-0.326610,0.000000,0.349066,-0.326610,0.000000,0.349066,-0.326610,0.000000
4.236150,0.349066,-0.284888,0.000000,0.349066,-0.284888,0.000000,0.349066,-0.284888,0.000000,0.349066,-0.284888,0.000000
4.289276,0.349066,-0.242767,0.000000,0.349066,-0.242767,0.000000,0.349066,-0.242767,0.000000,0.349066,-0.242767,0.000000
4.340134,0.349066,-0.203511,0.000000,0.349066,-0.203511,0.000000,0.349066,-0.203511,0.000000,0.349066,-0.203511,0.000000
4.393184,0.349066,-0.163337,0.000000,0.349066,-0.163337,0.000000,0.349066,-0.163337,0.000000,0.349066,-0.163337,0.000000
4.444244,0.349066,-0.127027,0.000000,0.349066,-0.127027,0.000000,0.349066,-0.127027,0.000000,0.349066,-0.127027,0.000000
4.496304,0.349066,-0.093577,0.000000,0.349066,-0.093577,0.000000,0.349066,-0.093577,0.000000,0.349066,-0.093577,0.000000
4.547938,0.349066,-0.063271,0.000000,0.349066,-0.063271,0.000000,0.349066,-0.063271,0.000000,0.349066,-0.063271,0.000000
4.598760,0.349066,-0.038923,0.000000,0.349066,-0.038923,0.000000,0.349066,-0.038923,0.000000,0.349066,-0.038923,0.000000
4.650983,0.349066,-0.019223,0.000000,0.349066,-0.019223,0.000000,0.349066,-0.019223,0.000000,0.349066,-0.019223,0.000000
4.701283,0.349066,-0.006098,0.000000,0.349066,-0.006098,0.000000,0.349066,-0.006098,0.000000,0.349066,-0.006098,0.000000
4.752471,0.349066,-0.000311,0.000000,0.349066,-0.000311,0.000000,0.349066,-0.000311,0.000000,0.349066,-0.000311,0.000000
4.808628,0.347449,0.000000,0.000000,0.347449,0.000000,0.000000,0.347449,0.000000,0.000000,0.347449,0.000000,0.000000
4.866248,0.342395,0.000000,0.000000,0.342395,0.000000,0.000000,0.342395,0.000000,0.000000,0.342395,0.000000,0.000000
4.918879,0.326788,0.000000,0.000000,0.326788,0.000000,0.000000,0.326788,0.000000,0.000000,0.326788,0.000000,0.000000
4.970293,0.310899,0.000000,0.000000,0.310899,0.000000,0.000000,0.310899,0.000000,0.000000,0.310899,0.000000,0.000000
5.024204,0.291071,0.000000,0.000000,0.291071,0.000000,0.000000,0.291071,0.000000,0.000000,0.291071,0.000000,0.000000
5.077973,0.268620,0.000000,0.000000,0.268620,0.000000,0.000000,0.268620,0.000000,0.000000,0.268620,0.000000,0.000000
5.129632,0.243960,0.000000,0.000000,0.243960,0.000000,0.000000,0.243960,0.000000,0.000000,0.243960,0.000000,0.000000
5.182052,0.217629,0.000000,0.000000,0.217629,0.000000,0.000000,0.217629,0.000000,0.000000,0.217629,0.000000,0.000000
5.234133,0.190901,0.000000,0.000000,0.190901,0.000000,0.000000,0.190901,0.000000,0.000000,0.190901,0.000000,0.000000
5.287864,0.162702,0.000000,0.000000,0.162702,0.000000,0.000000,0.162702,0.000000,0.000000,0.162702,0.000000,0.000000
5.337894,0.137056,0.000000,0.000000,0.137056,0.000000,0.000000,0.137056,0.000000,0.000000,0.137056,0.000000,0.000000
5.391190,0.110362,0.000000,0.000000,0.110362,0.000000,0.000000,0.110362,0.000000,0.000000,0.110362,0.000000,0.000000
5.445019,0.084665,0.000000,0.000000,0.084665,0.000000,0.000000,0.084665,0.000000,0.000000,0.084665,0.000000,0.000000
5.498167,0.061712,0.000000,0.000000,0.061712,0.000000,0.000000,0.061712,0.000000,0.000000,0.061712,0.000000,0.000000
5.550704,0.041655,0.000000,0.000000,0.041655,0.000000,0.000000,0.041655,0.000000,0.000000,0.041655,0.000000,0.000000
5.600651,0.025290,0.000000,0.000000,0.025290,0.000000,0.000000,0.025290,0.000000,0.000000,0.025290,0.000000,0.000000
